repo	agent_project	confidence	reason
zamalali/DeepGit	yes	high	README provides a LangGraph agentic workflow for researching GitHub repositories.
Pan-Chera/Multi-Agent-CAD	yes	high	README provides a multi-agent system that generates printable CAD models.
lc2panda/alphastream	yes	high	README provides a financial-analysis platform with runnable collaborating agents.
cuga-project/cuga-agent	yes	high	README provides a configurable generalist enterprise agent harness.
agentscope-ai/agentscope-runtime	no	high	README describes a production runtime for agent applications.
NVIDIA-AI-Blueprints/aiq	yes	high	README provides runnable deep-research agents through CLI and web interfaces.
icey1287/SuperMew	yes	medium	README identifies a runnable agent project with a backend application.
langchain-ai/react-agent	yes	high	README provides a complete runnable ReAct agent template.
victordibia/designing-multiagent-systems	no	high	README identifies the repository as companion code for a teaching book.
nirbar1985/ai-travel-agent	yes	high	README provides a runnable LangGraph travel agent.
Haohao-end/openagent	no	high	README describes a platform for building and operating other AI applications.
aws/bedrock-agentcore-sdk-python	no	high	README describes an SDK for hosting agents on Bedrock AgentCore.
vinay-gatech/stocks-insights-ai-agent	yes	high	README provides an agentic stock-data research and insight application.
NVIDIA-AI-Blueprints/rag	no	high	README describes a reference RAG pipeline rather than a task-performing agent.
Chen-zexi/open-ptc-agent	yes	high	README provides a runnable agent with tools and parallel subagents.
isoftstone-data-intelligence-ai/efflux-backend	yes	high	README provides a runnable MCP-enabled agent chat application backend.
braincrew-lab/langgraph-mcp-agents	yes	medium	README provides a Docker-runnable LangGraph agent project integrated with MCP.
langchain-ai/agentevals	no	high	README describes evaluators and utilities for assessing agents.
stophobia/deerflow2.0-enhanced	yes	high	README provides a runnable enhanced DeerFlow research-agent harness.
Bessouat40/RAGLight	no	high	README describes a modular RAG library installed as a Python package.
Westlake-AGI-Lab/AppAgentX	yes	high	README provides an implemented smartphone GUI agent from a research project.
wshobson/maverick-mcp	no	high	README describes a stock-analysis MCP server consumed by agents.
nuglifeleoji/Options-Analytics-Agent	yes	high	README provides a conversational financial-options analysis agent.
langtalks/swe-agent	yes	high	README provides a software-engineering agent with planning and implementation stages.
tablegpt/tablegpt-agent	yes	high	README provides the implemented TableGPT data agent.
BrandPeng/Langchain1.0-Langgraph1.0-Learning	no	high	README identifies the repository as a LangChain and LangGraph learning guide.
zhongyu09/openchatbi	yes	high	README provides chat agents for natural-language SQL and BI analysis.
martimfasantos/ai-agents-frameworks	no	high	README describes a comparison collection of agent frameworks.
51bitquant/ai-hedge-fund-crypto	yes	high	README provides an agentic cryptocurrency trading decision system.
wassim249/YT-Navigator	yes	high	README provides an AI application for researching and querying YouTube content.
esxr/langgraph-mcp	yes	high	README provides a runnable universal assistant using LangGraph and MCP.
langchain-ai/langgraph-bigtool	no	high	README describes a reusable tool-selection library for agents.
NicholasGoh/fastapi-mcp-langgraph-template	yes	medium	README provides a runnable agentic orchestration service template.
psyray/oasis	yes	medium	README provides an AI-powered autonomous code-security auditing application.
secureagentics/Adrian	no	high	README describes runtime security monitoring and control for other agents.
