repo	agent_project	confidence
jd-opensource/JoySafeter	yes	medium
NapthaAI/automcp	no	high
liangdabiao/langgraph_multi-agent-rag-customer-support	yes	high
hongbo-miao/hongbomiao.com	no	high
hwchase17/langchain-streamlit-template	yes	medium
foreveryh/mentis	no	high
yolo-hyl/medical-rag	yes	high
dhruvsinghal09/Adaptive-Rag	yes	high
HKUSTDial/DeepFund	yes	high
langchain-ai/new-langgraph-project	yes	high
goruck/home-generative-agent	yes	high
GenseeAI/cognify	no	high
jarrycyx/openlens-ai	yes	high
NVIDIA-AI-Blueprints/ai-virtual-assistant	yes	high
quarqlabs/argus	yes	high
kaymen99/langgraph-email-automation	yes	high
dapr/python-sdk	no	high
samwit/agent_tutorials	no	high
SecurityClaw/SecurityClaw	yes	high
LayerLens/stratix-python	no	high
zenml-io/kitaru	no	high
DinobaseHQ/dinobase	no	high
Lyra-stellAI/BYO-LLM-WIKI	yes	high
artnoage/Podcast	yes	high
lingxi-agent/Lingxi	yes	high
shihongDev/evalyn	no	medium
mfmezger/conversational-agent-langchain	yes	high
tyxben/AI_novel	yes	high
bernatsampera/event-deep-research	yes	high
Y-Research-SBU/PosterGen	yes	medium
datawhalechina/vibe-blog	yes	high
huygiatrng/AlpacaTradingAgent	yes	high
KodyKendall/LlamaBot	yes	medium
lgesuellip/langgraph-whatsapp-agent	yes	high
billy-enrizky/openbrowser-ai	yes	high
NVIDIA-AI-Blueprints/vulnerability-analysis	yes	high
lkpAgent/openAgent	no	high
wshobson/financial-chat	yes	high
redis-developer/langgraph-redis	no	high
nicoladisabato/MultiAgenticRAG	yes	high
Jasper-zh/Multi-Agent-Playground	no	high
eosho/langchain_data_agent	yes	high
Wood-Q/MokioAgent	no	high
growgraph/ontocast	yes	medium
responsibleai/ASSERT	no	medium
arklexai/arksim	no	high
qualixar/superlocalmemory	no	high
aakriti1318/multi-agent-generator	no	high
louisgthier/decompai	yes	high
Nachoeigu/agentic-customer-service-medical-clinic	yes	high
jamwithai/observable-job-agent	yes	high
Gen-Future/ExcelMind	yes	high
kulkarnirohit123/cra-agent	yes	high
Yanyutin753/LambChat	yes	high
langchain-ai/langgraph-cua-py	no	high
jkmaina/LangGraphProjects	no	high
Yonom/assistant-ui-langgraph-fastapi	yes	medium
HezaoHezao/poirot	yes	high
nexi-lab/nexus	no	high
fzn0x/watchtower	yes	high
luml-ai/luml	no	medium
yycyyv/M-Cube	yes	medium
jank/curiosity	yes	medium
muratcankoylan/readwren	yes	high
tavily-ai/meeting-prep-agent	yes	high
ZhangJinHaHaHa/FinchainAgent	yes	high
guangshu100/BidMaster-Pro	yes	high
tevslin/meeting-reporter	yes	high
ai-forever/giga_agent	yes	medium
duartecaldascardoso/article-explainer	yes	high
chatchat-space/LangGraph-Chatchat	yes	medium
juliepy/AI-Engineer-from-scrach	no	high
velocitybolt/open-extract	no	high
kubeflow/mcp-apache-spark-history-server	no	high
mahdin75/gis-mcp	no	high
didilili/deepsearch-agents	yes	high
OS3Lab/agent4kdump	yes	high
akamai/patchdiff-ai	yes	high
tarun7r/deep-research-agent	yes	high
skygazer42/Weaver	yes	medium
kaymen99/personal-ai-assistant	yes	high
Yourdaylight/stock_datasource	yes	high
apify/apify-sdk-python	no	high
biheto/DevAgent-Studio	no	medium
YUHAO-corn/manufacturing-agents	yes	high
GU-Cryptography/anykb	yes	high
ob-labs/agentseek	no	high
EYamanS/texel-studio	yes	medium
midodimori/langrepl	no	high
Y-Research-SBU/TimeSeriesScientist	yes	high
OpenDCAI/One-Eval	no	high
FeiCoder/BreadFree-Simu	yes	medium
CopilotKit/scene-creator-copilot	yes	high
FareedKhan-dev/scalable-rag-pipeline	yes	high
nowledge-co/community	no	medium
kaymen99/Upwork-AI-jobs-applier	yes	high
AMAP-ML/MobilityBench	no	high
depalmar/ai_for_the_win	no	high
nihalashetty/Forge	no	high
kargarisaac/telegram_link_summarizer_agent	yes	high
xiongQvQ/AI_Find_Customer	yes	high
itshyao/proxyless-llm-websearch	yes	high
shenjianan97/persistent-agent-runtime	no	high
langchain-ai/langgraph-fullstack-python	yes	high
123-qw-as/Beacon	yes	medium
iblameandrew/open-deepthink	yes	high
BjornMelin/docmind-ai-llm	yes	high
UiPath/skills	no	high
argonne-lcf/ChemGraph	yes	high
Ganador1/FenixAI_tradingBot	yes	high
hwchase17/autoresearch-agents	yes	high
leonzzz435/garmin-ai-coach	yes	high
EricHong123/B-agent	yes	high
neopen/story-shot-agent	yes	high
kevin333353/jobsmith	yes	medium
bamboo-moon/zhisaotong-Agent	yes	medium
waseens/deep-search-pro	yes	high
Neon549/Alpha_stock	yes	medium
colossus-lab/openarg_backend	yes	medium
NVIDIA-AI-Blueprints/biomedical-aiq-research-agent	yes	high
trpc-group/trpc-agent-python	no	high
kaymen99/local-rag-researcher-deepseek	yes	high
little51/agent-dev	no	high
ro-anderson/multi-agent-rag-customer-support	yes	high
SriLaxmi1993/Generative-AI-Projects	no	high
UnicomAI/UniHarness	no	high
twanew/OmniWriter	yes	high
IatomicreactorI/CSGOTrading	yes	high
jaguarliuu/xunlong	yes	medium
wanmol/goal-flow	no	high
Eldergenix/Plato-Scientific-Research-Autonomous-Agent	yes	high
bcefghj/medical-multi-agent-system	yes	high
qiaojoin586-droid/RAG_LearnLittleCode	no	high
alibaba/loongsuite-python	no	medium
seanlxh/Air-Lingjing	yes	high
agruai/company-research-agent	yes	high
yaalalabs/agent-kernel	no	high
shodan1q/zeroapp	yes	medium
bcefghj/agent-knowledge-hub	yes	high
hidai25/eval-view	no	high
KRATSZ/LabScript-AI	yes	high
dkedar7/fast_dash	no	high
bonigarcia/context-engineering	no	high
aarora79/aws-cost-explorer-mcp-server	no	high
ljxpython/ai-agent-platform	yes	medium
kevaldekivadiya2415/fastapi-genai-boilerplate	no	high
aws-samples/sample-agentic-platform	no	high
cyberark/agentwatch	no	high
